Fecha,Temperatura_Media,Precipitaciones,Humedad_Relativa,Radiación_Solar,Velocidad_Viento
2021-12-16,5.3,0.0,69.0,96.0,0.8
2021-12-17,4.4,0.0,73.0,97.0,0.8
2021-12-17,4.4,0.0,74.0,97.0,0.8
2021-12-18,5.5,0.0,78.0,85.0,0.9
2021-12-18,5.5,0.0,76.0,85.0,0.9
2021-12-19,8.4,0.0,83.0,47.0,0.9
2021-12-19,8.4,0.0,76.0,47.0,0.9
2021-12-20,5.1,0.0,96.0,50.0,0.7
2021-12-20,5.1,0.0,89.0,50.0,0.7
2021-12-21,8.7,0.0,98.0,44.0,0.6
2021-12-21,8.7,0.0,88.0,44.0,0.6
2021-12-22,9.9,0.0,80.0,64.0,1.0
2021-12-22,9.9,0.0,88.0,64.0,1.0
2021-12-23,8.3,0.1,94.0,50.0,1.0
2021-12-23,8.3,0.1,94.0,50.0,1.0
2021-12-24,10.3,0.1,68.0,22.0,1.0
2021-12-24,10.3,0.1,97.0,22.0,1.0
2021-12-25,8.9,0.27,93.0,27.0,1.1
2021-12-25,8.9,0.27,98.0,27.0,1.1
2021-12-26,9.1,0.31,92.0,23.0,1.7
2021-12-26,9.1,0.31,100.0,23.0,1.7
2021-12-27,11.7,0.01,86.0,90.0,3.9
2021-12-27,11.7,0.01,88.0,90.0,3.9
2021-12-28,10.5,0.0,96.0,91.0,2.5
2021-12-28,10.5,0.0,88.0,91.0,2.5
2021-12-29,8.7,0.0,94.0,81.0,0.7
2021-12-29,8.7,0.0,90.0,81.0,0.7
2021-12-30,8.1,0.0,79.0,99.0,0.6
2021-12-30,8.1,0.0,85.0,99.0,0.6
2021-12-31,8.3,0.0,77.0,101.0,0.7
2021-12-31,8.3,0.0,81.0,101.0,0.7
