Fecha,Ventas
2022-03-28,132.45
2022-03-29,189.11
2022-03-30,113.35
2022-03-31,128.28
2022-04-01,257.55
2022-04-02,392.64
2022-04-03,435.96
2022-04-04,98.22
2022-04-05,128.61
2022-04-06,295.4
2022-04-07,401.03
2022-04-08,362.97
2022-04-09,355.61
2022-04-10,1050.39
2022-04-11,241.1
2022-04-12,105.21
2022-04-13,247.28
2022-04-14,459.95
2022-04-15,574.94
2022-04-16,619.7
2022-04-17,1025.65
2022-04-18,505.55
2022-04-19,127.15
2022-04-21,334.26
2022-04-23,170.88
2022-04-24,1075.54
2022-04-25,348.4
2022-04-26,221.43
2022-04-27,113.05
2022-04-28,162.82
2022-04-29,648.78
2022-04-30,706.65
2022-05-01,1438.25
2022-05-04,290.07
2022-05-05,507.62
2022-05-06,891.69
2022-05-07,1033.91
2022-05-08,1358.96
2022-05-09,295.8
2022-05-10,577.15
2022-05-11,487.65
2022-05-12,480.3
2022-05-13,880.15
2022-05-14,865.75
2022-05-15,1154.62
2022-05-16,794.6
2022-05-17,507.9
2022-05-18,487.81
2022-05-19,532.81
2022-05-20,912.41
2022-05-21,715.52
2022-05-22,879.3
2022-05-24,273.3
2022-05-26,531.52
2022-05-27,807.86
2022-05-28,916.21
2022-05-29,1093.14
2022-05-31,602.31
2022-06-01,642.17
2022-06-02,546.65
2022-06-03,810.61
2022-06-04,915.11
2022-06-05,1228.1
2022-06-06,178.15
2022-06-07,618.83
2022-06-08,575.55
2022-06-09,708.9
2022-06-10,936.22
2022-06-11,1071.49
2022-06-12,1002.17
2022-06-14,728.32
2022-06-15,724.35
2022-06-16,675.62
2022-06-17,887.76
2022-06-18,1000.93
2022-06-19,1180.12
2022-06-20,308.15
2022-06-21,481.94
2022-06-22,540.35
2022-06-23,527.95
2022-06-24,845.5
2022-06-25,928.21
2022-06-26,1336.75
2022-06-27,469.5
2022-06-28,692.05
2022-06-29,747.6
2022-06-30,649.6
2022-07-01,773.59
2022-07-02,893.75
2022-07-03,927.9
2022-07-04,507.45
2022-07-05,490.25
2022-07-06,508.21
2022-07-07,648.7
2022-07-08,794.22
2022-07-09,681.22
2022-07-10,870.46
2022-07-11,399.85
2022-07-13,652.87
2022-07-14,470.15
2022-07-15,562.1
2022-07-16,491.1
2022-07-17,706.95
2022-07-18,307.45
2022-07-19,477.65
2022-07-20,451.75
2022-07-21,480.2
2022-07-22,566.85
2022-07-23,525.55
2022-07-24,396.5
2022-07-26,398.67
2022-07-27,291.0
2022-07-28,538.0
2022-07-29,673.8
2022-07-30,551.48
2022-07-31,622.35
2022-08-01,319.85
2022-08-02,417.05
2022-08-03,329.05
2022-08-04,297.5
2022-08-05,344.6
2022-08-06,461.7
2022-08-07,609.25
2022-08-08,412.2
2022-08-09,434.45
2022-08-10,305.2
2022-08-11,483.6
2022-08-12,415.62
2022-08-16,263.3
2022-08-17,321.8
2022-08-18,443.25
2022-08-19,367.33
2022-08-20,558.35
2022-08-21,509.45
2022-08-22,324.25
2022-08-23,429.35
2022-08-24,287.35
2022-08-25,343.32
2022-08-26,557.25
2022-08-27,606.75
2022-08-28,738.9
2022-08-29,421.6
2022-08-30,492.54
2022-08-31,461.6
2022-09-01,563.31
2022-09-02,652.24
2022-09-03,840.24
2022-09-04,801.23
2022-09-05,454.73
2022-09-06,394.35
2022-09-07,468.37
2022-09-08,458.92
2022-09-09,643.5
2022-09-10,821.06
2022-09-11,940.8
2022-09-12,207.85
2022-09-14,267.93
2022-09-16,641.69
2022-09-17,743.85
2022-09-18,827.52
2022-09-19,281.65
2022-09-20,327.75
2022-09-21,341.95
2022-09-22,277.1
2022-09-23,784.44
2022-09-24,628.74
2022-09-25,392.95
2022-09-27,264.1
2022-09-28,289.19
2022-09-29,78.9
2022-09-30,332.36
2022-10-01,471.7
2022-10-02,781.04
2022-10-03,171.5
2022-10-04,251.65
2022-10-05,369.95
2022-10-06,286.98
2022-10-07,430.34
2022-10-08,446.05
2022-10-09,842.58
2022-10-10,114.6
2022-10-11,271.58
2022-10-12,825.43
2022-10-13,231.01
2022-10-14,491.27
2022-10-15,519.25
2022-10-16,629.71
2022-10-18,307.27
