Grupo;Ventas;SubTotal;Impuestos;Total;SubTotal Coste;Beneficio
29/07/2021;69;351,83;36,37;388,2;4,63;347,2
30/07/2021;83;500,53;50,47;551;2,47;498,06
31/07/2021;89;607,44;61,46;668,9;4,68;602,76
01/08/2021;110;729,43;75,32;804,75;7,98;721,45
10/08/2021;75;434,63;43,72;478,35;1,72;432,91
11/08/2021;81;542,75;54,5;597,25;1,07;541,68
12/08/2021;52;302,71;30,99;333,7;2,06;300,65
13/08/2021;45;233,82;23,38;257,2;0,78;233,04
14/08/2021;51;382,68;38,27;420,95;0,52;382,16
15/08/2021;55;351,16;35,89;387,05;2,58;348,58
16/08/2021;40;244,02;25,13;269,15;2,07;241,95
17/08/2021;60;392,69;40,26;432,95;3,54;389,15
18/08/2021;84;465,54;47,81;513,35;4,37;461,17
19/08/2021;68;394,86;41,24;436,1;6,61;388,25
20/08/2021;85;494;49,4;543,4;1,29;492,71
21/08/2021;72;507,79;52,31;560,1;3,55;504,24
22/08/2021;89;541,88;55,72;597,6;3,06;538,82
23/08/2021;39;190,54;19,56;210,1;1,59;188,95
24/08/2021;60;316,04;32,56;348,6;2,32;313,72
25/08/2021;61;294,66;31,89;326,55;6,04;288,62
26/08/2021;73;380,17;40,43;420,6;7,55;372,62
27/08/2021;84;462,12;47,98;510,1;2,68;459,44
28/08/2021;85;584,4;58,7;643,1;1,8;582,6
29/08/2021;106;715,9;72,9;788,8;6,87;709,03
30/08/2021;66;348,21;35,24;383,45;1,71;346,5
31/08/2021;78;433;44,7;477,7;6,58;426,42
01/09/2021;27;146,35;15,1;161,45;3,46;142,89
02/09/2021;58;306,17;31,53;337,7;2,47;303,7
03/09/2021;83;465,07;47,78;512,85;5,37;459,7
04/09/2021;117;721;72,75;793,75;5,77;715,23
05/09/2021;115;724,97;76,28;801,25;11,96;713,01
06/09/2021;61;304,41;30,44;334,85;0,52;303,89
07/09/2021;84;436,43;44,82;481,25;5,98;430,45
08/09/2021;70;349,24;35,61;384,85;6,7;342,54
09/09/2021;60;321,69;34,21;355,9;7,4;314,29
10/09/2021;92;484,8;49,2;534;6,17;478,63
11/09/2021;105;641,39;66,46;707,85;8,33;633,06
12/09/2021;117;699,69;71,21;770,9;6,84;692,85
13/09/2021;14;53,07;5,73;58,8;1,45;51,62
14/09/2021;21;95,27;9,53;104,8;1,55;93,72
15/09/2021;45;256,82;25,68;282,5;3,11;253,71
16/09/2021;58;326,07;34,38;360,45;8,4;317,67
17/09/2021;98;552,72;56,38;609,1;9,37;543,35
18/09/2021;85;628,43;64,47;692,9;6,78;621,65
19/09/2021;109;692,59;70,16;762,75;8,99;683,6
20/09/2021;27;130,68;13,32;144;3;127,68
21/09/2021;43;181,01;18,59;199,6;5,81;175,2
