,Fecha,Temperatura_Media,Precipitaciones,Humedad_Relativa,Radiación_Solar,Velocidad_Viento
153,2023-07-04,27.5,0.0,37.0,358.0,1.5
154,2023-07-05,26.7,0.0,30.0,281.0,1.4
155,2023-07-06,27.1,0.0,40.0,342.0,2.0
156,2023-07-07,26.7,0.0,42.0,329.0,2.1
157,2023-07-08,26.0,0.0,31.0,360.0,1.9
158,2023-07-09,26.6,0.0,30.0,340.0,1.5
159,2023-07-10,29.1,0.0,30.0,345.0,1.3
160,2023-07-11,30.2,0.0,27.0,349.0,2.1
161,2023-07-12,27.1,0.0,28.0,284.0,1.8
162,2023-07-13,28.1,0.0,33.0,347.0,1.5
163,2023-07-14,28.4,0.0,35.0,351.0,2.1
164,2023-07-15,25.5,0.0,39.0,356.0,3.0
165,2023-07-16,26.1,0.0,33.0,350.0,1.5
166,2023-07-17,28.8,0.0,32.0,328.0,1.2
167,2023-07-18,30.9,0.0,30.0,297.0,1.9
168,2023-07-19,31.1,0.0,25.0,328.0,2.5
169,2023-07-20,28.2,0.0,23.0,350.0,2.5
170,2023-07-21,26.2,0.0,33.0,307.0,2.0
171,2023-07-22,25.5,0.0,37.0,275.0,1.3
172,2023-07-23,26.2,0.0,30.0,337.0,1.7
173,2023-07-24,25.0,0.0,31.0,323.0,2.2
174,2023-07-25,24.3,0.0,33.0,344.0,1.6
175,2023-07-26,25.6,0.0,33.0,340.0,1.2
176,2023-07-27,26.4,0.0,34.0,335.0,2.2
177,2023-07-28,26.8,0.0,31.0,336.0,2.0
178,2023-07-29,27.9,0.0,32.0,335.0,2.0
179,2023-07-30,29.2,0.0,33.0,333.0,1.8
180,2023-07-31,29.7,0.0,32.0,329.0,1.5
181,2023-08-01,29.5,0.0,26.0,331.0,1.6
182,2023-08-02,28.4,0.0,34.0,331.0,1.9
183,2023-08-03,26.0,0.0,38.0,330.0,1.8
184,2023-08-04,26.0,0.0,24.0,375.0,1.9
185,2023-08-05,24.2,0.0,34.0,328.0,1.5
186,2023-08-06,27.3,0.0,29.0,324.0,1.4
187,2023-08-07,27.4,0.0,28.0,322.0,1.4
188,2023-08-08,29.4,0.0,32.0,300.0,1.4
189,2023-08-09,31.0,0.0,31.0,250.0,1.6
190,2023-08-10,30.8,0.0,26.0,321.0,1.7
191,2023-08-11,29.5,0.0,23.0,313.0,1.3
192,2023-08-12,29.9,0.0,28.0,305.0,1.4
193,2023-08-13,28.9,0.0,33.0,310.0,1.9
194,2023-08-14,27.6,0.0,22.0,317.0,1.8
195,2023-08-15,27.1,0.0,24.0,297.0,1.5
196,2023-08-16,27.3,0.0,27.0,309.0,1.5
197,2023-08-17,27.1,0.0,29.0,307.0,1.6
198,2023-08-18,26.8,0.0,26.0,280.0,2.3
199,2023-08-19,28.2,0.0,31.0,299.0,1.5
200,2023-08-20,29.7,0.0,27.0,301.0,1.3
201,2023-08-21,31.6,0.0,28.0,289.0,1.3
202,2023-08-22,31.9,0.0,24.0,288.0,1.5
203,2023-08-23,31.8,0.0,25.0,292.0,1.8
204,2023-08-24,30.7,0.0,25.0,289.0,1.6
205,2023-08-25,30.8,0.0,21.0,274.0,2.3
206,2023-08-26,26.6,0.0,27.0,174.0,3.1
207,2023-08-27,20.0,0.0,38.0,291.0,1.8
208,2023-08-28,20.8,0.0,41.0,287.0,1.3
209,2023-08-29,22.1,0.0,40.0,272.0,1.3
210,2023-08-30,21.8,0.0,39.0,267.0,1.1
211,2023-08-31,23.4,0.0,36.0,279.0,1.3
212,2023-09-01,23.6,0.0,37.0,226.0,1.4
213,2023-09-02,18.3,0.48,72.0,63.0,1.5
214,2023-09-03,17.3,0.93,93.0,41.0,1.2
215,2023-09-04,19.2,1.92,86.0,126.0,1.0
216,2023-09-05,21.9,0.0,69.0,244.0,1.0
217,2023-09-06,22.6,0.23,70.0,189.0,0.8
218,2023-09-07,23.8,0.0,64.0,198.0,1.1
219,2023-09-08,24.7,0.09,61.0,250.0,1.3
220,2023-09-09,22.8,0.08,70.0,171.0,1.4
221,2023-09-10,22.3,0.23,75.0,239.0,1.1
222,2023-09-11,20.6,0.05,71.0,207.0,1.5
223,2023-09-12,20.5,0.0,64.0,186.0,0.9
224,2023-09-13,21.8,0.0,56.0,250.0,1.1
225,2023-09-14,22.4,0.0,62.0,174.0,1.0
