,Fecha,Ventas
394,2022-04-15,574.94
395,2022-04-16,619.7
396,2022-04-17,1025.65
397,2022-04-18,505.55
398,2022-04-19,127.15
399,2022-04-21,334.26
400,2022-04-23,170.88
401,2022-04-24,1075.54
402,2022-04-25,348.4
403,2022-04-26,221.43
404,2022-04-27,113.05
405,2022-04-28,162.82
406,2022-04-29,648.78
407,2022-04-30,706.65
408,2022-05-01,1438.25
409,2022-05-04,290.07
410,2022-05-05,507.62
411,2022-05-06,891.69
412,2022-05-07,1033.91
413,2022-05-08,1358.96
414,2022-05-09,295.8
415,2022-05-10,577.15
416,2022-05-11,487.65
417,2022-05-12,480.3
418,2022-05-13,880.15
419,2022-05-14,865.75
420,2022-05-15,1154.62
421,2022-05-16,794.6
422,2022-05-17,507.9
423,2022-05-18,487.81
424,2022-05-19,532.81
425,2022-05-20,912.41
426,2022-05-21,715.52
427,2022-05-22,879.3
428,2022-05-24,273.3
429,2022-05-26,531.52
430,2022-05-27,807.86
431,2022-05-28,916.21
432,2022-05-29,1093.14
433,2022-05-31,602.31
434,2022-06-01,642.17
435,2022-06-02,546.65
436,2022-06-03,810.61
437,2022-06-04,915.11
438,2022-06-05,1228.1
439,2022-06-06,178.15
440,2022-06-07,618.83
441,2022-06-08,575.55
442,2022-06-09,708.9
443,2022-06-10,936.22
444,2022-06-11,1071.49
445,2022-06-12,1002.17
446,2022-06-14,728.32
447,2022-06-15,724.35
448,2022-06-16,675.62
449,2022-06-17,887.76
450,2022-06-18,1000.93
451,2022-06-19,1180.12
452,2022-06-20,308.15
453,2022-06-21,481.94
454,2022-06-22,540.35
455,2022-06-23,527.95
456,2022-06-24,845.5
457,2022-06-25,928.21
458,2022-06-26,1336.75
459,2022-06-27,469.5
460,2022-06-28,692.05
461,2022-06-29,747.6
462,2022-06-30,649.6
463,2022-07-01,773.59
464,2022-07-02,893.75
465,2022-07-03,927.9
466,2022-07-04,507.45
467,2022-07-05,490.25
468,2022-07-06,508.21
469,2022-07-07,648.7
470,2022-07-08,794.22
471,2022-07-09,681.22
472,2022-07-10,870.46
473,2022-07-11,399.85
474,2022-07-13,652.87
475,2022-07-14,470.15
476,2022-07-15,562.1
477,2022-07-16,491.1
478,2022-07-17,706.95
479,2022-07-18,307.45
480,2022-07-19,477.65
481,2022-07-20,451.75
482,2022-07-21,480.2
483,2022-07-22,566.85
484,2022-07-23,525.55
485,2022-07-24,396.5
486,2022-07-26,398.67
487,2022-07-27,291.0
488,2022-07-28,538.0
489,2022-07-29,673.8
490,2022-07-30,551.48
491,2022-07-31,622.35
492,2022-08-01,319.85
493,2022-08-02,417.05
494,2022-08-03,329.05
495,2022-08-04,297.5
496,2022-08-05,344.6
497,2022-08-06,461.7
498,2022-08-07,609.25
499,2022-08-08,412.2
500,2022-08-09,434.45
501,2022-08-10,305.2
502,2022-08-11,483.6
503,2022-08-12,415.62
504,2022-08-16,263.3
505,2022-08-17,321.8
506,2022-08-18,443.25
507,2022-08-19,367.33
508,2022-08-20,558.35
509,2022-08-21,509.45
510,2022-08-22,324.25
511,2022-08-23,429.35
512,2022-08-24,287.35
513,2022-08-25,343.32
514,2022-08-26,557.25
515,2022-08-27,606.75
516,2022-08-28,738.9
517,2022-08-29,421.6
518,2022-08-30,492.54
519,2022-08-31,461.6
520,2022-09-01,563.31
521,2022-09-02,652.24
522,2022-09-03,840.24
523,2022-09-04,801.23
524,2022-09-05,454.73
525,2022-09-06,394.35
526,2022-09-07,468.37
527,2022-09-08,458.92
528,2022-09-09,643.5
529,2022-09-10,821.06
530,2022-09-11,940.8
531,2022-09-12,207.85
532,2022-09-14,267.93
533,2022-09-16,641.69
534,2022-09-17,743.85
535,2022-09-18,827.52
536,2022-09-19,281.65
537,2022-09-20,327.75
538,2022-09-21,341.95
539,2022-09-22,277.1
540,2022-09-23,784.44
541,2022-09-24,628.74
542,2022-09-25,392.95
543,2022-09-27,264.1
544,2022-09-28,289.19
545,2022-09-29,78.9
546,2022-09-30,332.36
547,2022-10-01,471.7
548,2022-10-02,781.04
549,2022-10-03,171.5
550,2022-10-04,251.65
551,2022-10-05,369.95
552,2022-10-06,286.98
553,2022-10-07,430.34
554,2022-10-08,446.05
555,2022-10-09,842.58
556,2022-10-10,114.6
557,2022-10-11,271.58
558,2022-10-12,825.43
559,2022-10-13,231.01
560,2022-10-14,491.27
561,2022-10-15,519.25
562,2022-10-16,629.71
563,2022-10-18,307.27
564,2022-10-19,123.0
565,2022-10-20,74.26
566,2022-10-22,263.29
567,2022-10-23,220.01
568,2022-10-24,143.52
569,2022-10-25,230.21
570,2022-10-26,205.55
